id;date;author;target;description;attack;target_class;attack_class;country;link;author_report;date_report;views
1;13/02/2020;?;Grand Est;The Grand Est region is hit with a ransomware attack.;Malware;O Public administration and defence, compulsory social security;CC;FR;https://www.databreaches.net/butler-county-community-college-recovering-from-ransomware-attack/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
2;14/02/2020;?;INA Group;A ransomware attack cripples some business operations at INA Group, Croatia's biggest oil company, and its largest petrol station chain.;Malware;D Electricity gas steam and air conditioning supply;CC;HR;https://www.databreaches.net/butler-county-community-college-recovering-from-ransomware-attack/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
3;14/02/2020;?;BST;A Maze ransomware attack on BST, an accounting firm in December exposes the patient data of Community Care Physicians, a large upstate New York medical group, as well as other clients of the firm.;Malware;K Financial and insurance activities;CC;US;https://www.databreaches.net/butler-county-community-college-recovering-from-ransomware-attack/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
4;14/02/2020;?;Tennessee Orthopaedic Alliance;Tennessee Orthopaedic Alliance notifies more than 81,000 patients after discovering two employee email accounts had been compromised on October 18, 2019.;Account Hijacking;Q Human health and social work activities;CC;US;https://www.databreaches.net/butler-county-community-college-recovering-from-ransomware-attack/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
5;15/02/2020;?;Neebs Gaming YouTube channel;Neebs Gaming, a highly popular YouTube gaming channel is hacked by unidentified crypto scammers, who change its name and banner to Coinbase Pro to collect Bitcoin from its viewers/subscribers.;Account Hijacking;R Arts entertainment and recreation;CC;US;https://www.databreaches.net/butler-county-community-college-recovering-from-ransomware-attack/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
6;15/02/2020;?;Lodi School District;School officials in Lodi are investigating after student data is breached at two different schools: Bear Creek High and Ronald E. McNair High.;Unknown;P Education;CC;US;https://www.databreaches.net/butler-county-community-college-recovering-from-ransomware-attack/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
7;16/02/2020;Fox Kitten;Companies from the IT, Telecommunication, Oil and Gas, Aviation, Government, and Security sectors;Researchers from ClearSky reveal that Iran's government-backed hacking units have made a top priority last year to exploit VPN bugs to infiltrate and plant backdoors in companies all over the world.;CVE-2019-11510, CVE-2018-13379, CVE-2019-1579, CVE-2019-19781;Y Multiple Industries;CE;>1;https://www.databreaches.net/butler-county-community-college-recovering-from-ransomware-attack/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
8;16/02/2020;APT-C-23;Israel Defense Force (IDF) soldiers;An IDF’s spokesperson reveals that IDF (Israel Defense Force) and ISA (Israel Security Agency AKA “Shin Bet”) conducted a joint operation to take down a Hamas operation targeting IDF soldiers, dubbed ‘Rebound’.;Targeted Attack;O Public administration and defence, compulsory social security;CE;IL;https://www.databreaches.net/butler-county-community-college-recovering-from-ransomware-attack/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
9;16/02/2020;?;Vulnerable Wordpress sites;Researchers from WebARX reveal the details of a currently exploited vulnerability targeting the ThemeGrill Demo Importer plugin that allows the attackers to completely wipe a Wordpress site.;Wordpress plugins vulnerabilities;Y Multiple Industries;CC;>1;https://www.databreaches.net/butler-county-community-college-recovering-from-ransomware-attack/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
10;16/02/2020;?;Butler County Community College;Butler County Community College is hit with a ransomware attack.;Malware;P Education;CC;US;https://www.databreaches.net/butler-county-community-college-recovering-from-ransomware-attack/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
11;17/02/2020;?;ISS World;A ransomware attack hits the major facilities company ISS World, which has half a million employees worldwide.;Malware;N Administrative and support service activities;CC;DK;https://www.bleepingcomputer.com/news/security/zero-day-in-wordpress-plugin-exploited-to-create-admin-accounts/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
12;17/02/2020;?;More than 80 Turkish companies;Check Point researchers discover an evolving, ongoing malspam campaign targeting more than 80 Turkish companies, distributing the Adwind RAT.;Malicious Spam;Y Multiple Industries;CC;TR;https://www.bleepingcomputer.com/news/security/zero-day-in-wordpress-plugin-exploited-to-create-admin-accounts/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
13;17/02/2020;?;Multiple targets;IBM X-Force Threat Intelligence researchers discover a phishing campaign distributing the Lokibot information stealer malware via emails designed to look like they're sent by the Ministry of Health of the People's Republic of China and containing emergency Coronavirus regulations in English.;Malware;Y Multiple Industries;CC;>1;https://www.bleepingcomputer.com/news/security/zero-day-in-wordpress-plugin-exploited-to-create-admin-accounts/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
