Year;Mes;Continent;Country_name;Code_target_class;Desc_target_class;ProblemasQC;Author_processed_Conocido;Author_processed_Desconocido;Code_attack_class_>1;Code_attack_class_CC;Code_attack_class_CE;Code_attack_class_CW;Code_attack_class_H;Code_attack_class_UK;NumeroAtaques
2017;1;América;Brasil;J;Information and communication;False;1;0;0;1;0;0;0;0;1
2017;1;América;Brasil;Z;Unknown;False;0;1;0;1;0;0;0;0;1
2017;1;América;Canadá;P;Education;False;0;1;0;1;0;0;0;0;1
2017;1;América;Estados Unidos de América;C;Manufacturing;False;0;3;0;3;0;0;0;0;3
2017;1;América;Estados Unidos de América;I;Accommodation and food service activities;False;0;3;0;3;0;0;0;0;3
2017;1;América;Estados Unidos de América;J;Information and communication;False;1;5;0;6;0;0;0;0;6
2017;1;América;Estados Unidos de América;M;Professional scientific and technical activities;False;0;1;0;1;0;0;0;0;1
2017;1;América;Estados Unidos de América;N;Administrative and support service activities;False;0;1;0;1;0;0;0;0;1
2017;1;América;Estados Unidos de América;O;Public administration and defence, compulsory social security;False;1;4;0;5;0;0;0;0;5
2017;1;América;Estados Unidos de América;P;Education;False;0;10;0;10;0;0;0;0;10
2017;1;América;Estados Unidos de América;Q;Human health and social work activities;False;0;8;0;8;0;0;0;0;8
2017;1;América;Estados Unidos de América;R;Arts entertainment and recreation;False;1;5;0;6;0;0;0;0;6
2017;1;América;Estados Unidos de América;X;Individual;False;0;1;0;1;0;0;0;0;1
2017;1;América;Venezuela;O;Public administration and defence, compulsory social security;False;2;0;0;0;0;0;2;0;2
2017;1;Asia;Arabia Saudita;Y;Multiple Industries;False;0;1;0;0;0;1;0;0;1
2017;1;Asia;China;J;Information and communication;False;0;1;0;1;0;0;0;0;1
2017;1;Asia;Corea del Sur;O;Public administration and defence, compulsory social security;False;0;1;0;0;1;0;0;0;1
2017;1;Asia;Hong kong;K;Financial and insurance activities;False;0;1;0;1;0;0;0;0;1
2017;1;Asia;India;J;Information and communication;False;1;0;0;1;0;0;0;0;1
2017;1;Asia;India;K;Financial and insurance activities;False;0;1;0;1;0;0;0;0;1
2017;1;Asia;India;O;Public administration and defence, compulsory social security;False;0;1;0;0;1;0;0;0;1
2017;1;Asia;India;Q;Human health and social work activities;False;1;0;0;1;0;0;0;0;1
2017;1;Asia;India;R;Arts entertainment and recreation;False;0;1;0;1;0;0;0;0;1
2017;1;Asia;Israel;J;Information and communication;False;0;1;0;1;0;0;0;0;1
2017;1;Asia;Israel;Y;Multiple Industries;False;1;0;0;0;1;0;0;0;1
2017;1;Asia;Japón;R;Arts entertainment and recreation;False;1;0;0;1;0;0;0;0;1
2017;1;Asia;Tailandia;O;Public administration and defence, compulsory social security;False;0;2;0;0;0;0;2;0;2
2017;1;Asia;Turquía;D;Electricity gas steam and air conditioning supply;True;0;1;0;0;0;0;1;0;1
2017;1;Australia y Oceanía;Australia;O;Public administration and defence, compulsory social security;False;0;1;0;1;0;0;0;0;1
2017;1;Desconocido;Desconocido;G;Wholesale and retail trade;False;1;0;0;1;0;0;0;0;1
2017;1;Europa;Austria;I;Accommodation and food service activities;False;0;1;0;1;0;0;0;0;1
2017;1;Europa;Finlandia;R;Arts entertainment and recreation;False;0;1;0;1;0;0;0;0;1
2017;1;Europa;Italia;X;Individual;False;1;0;0;0;1;0;0;0;1
2017;1;Europa;Países Bajos;X;Individual;False;0;1;0;1;0;0;0;0;1
2017;1;Europa;Polonia;O;Public administration and defence, compulsory social security;False;1;0;0;0;1;0;0;0;1
2017;1;Europa;Polonia;R;Arts entertainment and recreation;False;0;1;0;1;0;0;0;0;1
2017;1;Europa;Reino Unido;J;Information and communication;False;1;2;0;2;1;0;0;0;3
2017;1;Europa;Reino Unido;K;Financial and insurance activities;False;0;1;0;1;0;0;0;0;1
2017;1;Europa;Reino Unido;O;Public administration and defence, compulsory social security;False;0;2;0;0;1;0;1;0;2
2017;1;Europa;Reino Unido;Q;Human health and social work activities;False;0;1;0;1;0;0;0;0;1
2017;1;Europa;República Checa;J;Information and communication;False;0;1;0;1;0;0;0;0;1
2017;1;Europa;República Checa;O;Public administration and defence, compulsory social security;False;0;1;0;0;1;0;0;0;1
2017;1;Europa;Rusia;J;Information and communication;False;0;1;0;1;0;0;0;0;1
2017;1;Europa;Suecia;O;Public administration and defence, compulsory social security;False;0;1;0;0;1;0;0;0;1
2017;1;International;International;J;Information and communication;False;0;1;0;1;0;0;0;0;1
2017;1;International;International;O;Public administration and defence, compulsory social security;False;1;1;0;0;2;0;0;0;2
2017;1;International;International;R;Arts entertainment and recreation;False;0;1;0;1;0;0;0;0;1
2017;1;International;International;X;Individual;False;1;0;0;1;0;0;0;0;1
2017;1;International;International;Y;Multiple Industries;False;1;0;0;0;1;0;0;0;1
2017;2;América;Brasil;K;Financial and insurance activities;False;0;1;0;1;0;0;0;0;1
2017;2;América;Canadá;G;Wholesale and retail trade;False;0;2;0;2;0;0;0;0;2
2017;2;América;Canadá;O;Public administration and defence, compulsory social security;False;0;1;0;1;0;0;0;0;1
