Year;Mes;Continent;Country_name;Code_target_class;Desc_target_class;ProblemasQC;Author_processed;Code_attack_class
2017;1;Europa;Reino Unido;O;Public administration and defence, compulsory social security;False;Desconocido;CE
2017;1;Asia;Turquía;D;Electricity gas steam and air conditioning supply;True;Desconocido;H
2017;1;América;Estados Unidos de América;O;Public administration and defence, compulsory social security;False;Conocido;CC
2017;1;América;Estados Unidos de América;Q;Human health and social work activities;False;Desconocido;CC
2017;1;Europa;Reino Unido;O;Public administration and defence, compulsory social security;False;Desconocido;H
2017;1;Asia;India;O;Public administration and defence, compulsory social security;False;Desconocido;CE
2017;1;América;Brasil;J;Information and communication;False;Conocido;CC
2017;1;América;Estados Unidos de América;Q;Human health and social work activities;False;Desconocido;CC
2017;1;América;Estados Unidos de América;P;Education;False;Desconocido;CC
2017;1;International;International;Y;Multiple Industries;False;Conocido;CE
2017;1;Asia;Israel;Y;Multiple Industries;False;Conocido;CE
2017;1;América;Canadá;P;Education;False;Desconocido;CC
2017;1;Asia;Japón;R;Arts entertainment and recreation;False;Conocido;CC
2017;1;América;Estados Unidos de América;O;Public administration and defence, compulsory social security;False;Desconocido;CC
2017;1;Europa;Reino Unido;J;Information and communication;False;Desconocido;CC
2017;1;América;Venezuela;O;Public administration and defence, compulsory social security;False;Conocido;H
2017;1;América;Estados Unidos de América;J;Information and communication;False;Desconocido;CC
2017;1;América;Estados Unidos de América;P;Education;False;Desconocido;CC
2017;1;América;Estados Unidos de América;R;Arts entertainment and recreation;False;Desconocido;CC
2017;1;América;Estados Unidos de América;X;Individual;False;Desconocido;CC
2017;1;América;Estados Unidos de América;R;Arts entertainment and recreation;False;Desconocido;CC
2017;1;América;Estados Unidos de América;P;Education;False;Desconocido;CC
2017;1;Asia;Tailandia;O;Public administration and defence, compulsory social security;False;Desconocido;H
2017;1;Europa;Italia;X;Individual;False;Conocido;CE
2017;1;Europa;República Checa;J;Information and communication;False;Desconocido;CC
2017;1;América;Estados Unidos de América;Q;Human health and social work activities;False;Desconocido;CC
2017;1;América;Estados Unidos de América;P;Education;False;Desconocido;CC
2017;1;Asia;Israel;J;Information and communication;False;Desconocido;CC
2017;1;América;Estados Unidos de América;C;Manufacturing;False;Desconocido;CC
2017;1;Asia;Tailandia;O;Public administration and defence, compulsory social security;False;Desconocido;H
2017;1;Europa;Reino Unido;Q;Human health and social work activities;False;Desconocido;CC
2017;1;América;Estados Unidos de América;Q;Human health and social work activities;False;Desconocido;CC
2017;1;América;Venezuela;O;Public administration and defence, compulsory social security;False;Conocido;H
2017;1;América;Estados Unidos de América;J;Information and communication;False;Desconocido;CC
2017;1;América;Estados Unidos de América;P;Education;False;Desconocido;CC
2017;1;Asia;India;K;Financial and insurance activities;False;Desconocido;CC
2017;1;International;International;X;Individual;False;Conocido;CC
2017;1;América;Estados Unidos de América;I;Accommodation and food service activities;False;Desconocido;CC
2017;1;América;Estados Unidos de América;Q;Human health and social work activities;False;Desconocido;CC
2017;1;Europa;Rusia;J;Information and communication;False;Desconocido;CC
2017;1;Asia;Corea del Sur;O;Public administration and defence, compulsory social security;False;Desconocido;CE
2017;1;Europa;Finlandia;R;Arts entertainment and recreation;False;Desconocido;CC
2017;1;Europa;Países Bajos;X;Individual;False;Desconocido;CC
2017;1;Asia;India;R;Arts entertainment and recreation;False;Desconocido;CC
2017;1;América;Estados Unidos de América;C;Manufacturing;False;Desconocido;CC
2017;1;América;Estados Unidos de América;P;Education;False;Desconocido;CC
2017;1;América;Estados Unidos de América;M;Professional scientific and technical activities;False;Desconocido;CC
2017;1;América;Estados Unidos de América;I;Accommodation and food service activities;False;Desconocido;CC
2017;1;América;Estados Unidos de América;J;Information and communication;False;Desconocido;CC
2017;1;América;Estados Unidos de América;Q;Human health and social work activities;False;Desconocido;CC
